Title,Link,Score,Image Link,Genres
,https://myanimelist.net/manga/78523/ReLIFE,8.63,https://cdn.myanimelist.net/r/50x70/images/manga/2/171573.webp?s=ca1b3d49bbbc6a3cbeb2e32b939a263f,"Comedy, Drama, Romance, Slice of Life"
,https://myanimelist.net/manga/85968/Golden_Kamuy,8.63,https://cdn.myanimelist.net/r/50x70/images/manga/3/149257.webp?s=970c87e60a54c052d02237fcad0d99af,"Action, Adventure, Award Winning"
,https://myanimelist.net/manga/23900/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_7__Requiem_of_the_Golden_Witch,8.63,https://cdn.myanimelist.net/r/50x70/images/manga/1/273943.webp?s=b447534e541179173492f4ecf1a4a344,"Drama, Mystery, Supernatural, Suspense"
,https://myanimelist.net/manga/24875/Shinyaku_Toaru_Majutsu_no_Index,8.62,https://cdn.myanimelist.net/r/50x70/images/manga/2/221675.webp?s=3bd749ac693d6ef5d90f921269f64ecb,"Action, Comedy, Fantasy, Sci-Fi, Supernatural"
,https://myanimelist.net/manga/81/Aria,8.62,https://cdn.myanimelist.net/r/50x70/images/manga/2/202644.webp?s=208c9ec9f1f75864e959b756f1931523,"Adventure, Comedy, Drama, Sci-Fi, Slice of Life"
,https://myanimelist.net/manga/745/Pluto,8.62,https://cdn.myanimelist.net/r/50x70/images/manga/1/264496.webp?s=02418be775a42622e354476e90c8b735,"Action, Award Winning, Mystery, Sci-Fi, Suspense"
,https://myanimelist.net/manga/6978/Ginga_Eiyuu_Densetsu,8.62,https://cdn.myanimelist.net/r/50x70/images/manga/5/155231.webp?s=71ecf2692fc6c7818992f4823a526e94,"Action, Adventure, Drama, Sci-Fi"
,https://myanimelist.net/manga/107562/Kusuriya_no_Hitorigoto,8.62,https://cdn.myanimelist.net/r/50x70/images/manga/3/201154.webp?s=e571bdf12c487026976026496c32a091,"Drama, Mystery"
,https://myanimelist.net/manga/81669/Overlord,8.62,https://cdn.myanimelist.net/r/50x70/images/manga/1/160558.webp?s=bbbd416c86febc330c8da0aa2b93872e,"Action, Fantasy"
,https://myanimelist.net/manga/60783/Mob_Psycho_100,8.61,https://cdn.myanimelist.net/r/50x70/images/manga/2/204842.webp?s=eba09215e795a30c39cf189f5cb52a17,"Action, Award Winning, Comedy, Supernatural"
,https://myanimelist.net/manga/35513/Koten-bu_Series,8.61,https://cdn.myanimelist.net/r/50x70/images/manga/3/80983.webp?s=d836f9ba49d53b21b2171581effc7657,"Adventure, Mystery"
,https://myanimelist.net/manga/107931/Blue_Period,8.61,https://cdn.myanimelist.net/r/50x70/images/manga/2/204827.webp?s=d6d9ebcf2ceeaacb3912882909f29f0f,"Award Winning, Drama"
,https://myanimelist.net/manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo,8.60,https://cdn.myanimelist.net/r/50x70/images/manga/1/174932.webp?s=5675a61d6c2d1cc0adcc49f800775f45,"Adventure, Comedy, Fantasy"
,https://myanimelist.net/manga/70399/Seishun_Buta_Yarou_Series,8.60,https://cdn.myanimelist.net/r/50x70/images/manga/2/177502.webp?s=dbf181ad09d83c52bc28b1045bf49014,"Drama, Romance, Supernatural"
,https://myanimelist.net/manga/116312/19_Tian,8.60,https://cdn.myanimelist.net/r/50x70/images/manga/3/258684.webp?s=2d9cbaf5b2e28bc10eda6c2891d413fc,"Boys Love, Comedy"
,https://myanimelist.net/manga/128365/Kimi_to_Tsuzuru_Utakata,8.60,https://cdn.myanimelist.net/r/50x70/images/manga/1/239675.webp?s=63980b5c7c927391b0c036586e5fad86,
,https://myanimelist.net/manga/756/Banana_Fish,8.60,https://cdn.myanimelist.net/r/50x70/images/manga/5/265185.webp?s=a35bf85e9937cc1403b6e1f38e7785a0,"Action, Adventure, Drama"
,https://myanimelist.net/manga/26027/Mahoutsukai_no_Yoru,8.60,https://cdn.myanimelist.net/r/50x70/images/manga/1/63637.webp?s=5122950fc9503fec50a6464f73f0ca57,"Mystery, Supernatural"
,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso,8.59,https://cdn.myanimelist.net/r/50x70/images/manga/3/102691.webp?s=2ef952307c4ced6334ca8e1b3e3b620d,"Award Winning, Drama, Romance"
,https://myanimelist.net/manga/114043/Umarekawattemo_Mata_Watashi_to_Kekkon_shitekuremasu_ka,8.59,https://cdn.myanimelist.net/r/50x70/images/manga/1/211769.webp?s=c405172a70bfd9ab6785dcc4b2c0b90b,
,https://myanimelist.net/manga/118289/Skip_to_Loafer,8.59,https://cdn.myanimelist.net/r/50x70/images/manga/3/220669.webp?s=1e1b778f9ab5af15439621991a343ff7,"Award Winning, Drama"
,https://myanimelist.net/manga/132214/Omniscient_Readers_Viewpoint,8.59,https://cdn.myanimelist.net/r/50x70/images/manga/2/238873.webp?s=f46d7f730caa7d56bab35b858fa39519,"Action, Adventure, Fantasy"
,https://myanimelist.net/manga/102256/Ao_Ashi,8.59,https://cdn.myanimelist.net/r/50x70/images/manga/1/185325.webp?s=e2ec3153770d38247e86e988c6033133,"Award Winning, Sports"
,https://myanimelist.net/manga/145539/Seasons_of_Blossom,8.59,https://cdn.myanimelist.net/r/50x70/images/manga/3/257932.webp?s=e7b5b35df31f5cdb6465d4cbbbf44836,
,https://myanimelist.net/manga/147448/After_School_Lessons_for_Unripe_Apples,8.58,https://cdn.myanimelist.net/r/50x70/images/manga/1/261508.webp?s=dd71a993480813a612247d5b7d5ee648,
,https://myanimelist.net/manga/399/Kino_no_Tabi__The_Beautiful_World,8.58,https://cdn.myanimelist.net/r/50x70/images/manga/4/1146.webp?s=144b9ad67a4687cf1a5927074824c8a5,"Adventure, Drama, Fantasy, Mystery, Sci-Fi"
,https://myanimelist.net/manga/9982/Usogui,8.58,https://cdn.myanimelist.net/r/50x70/images/manga/2/283743.webp?s=1defb187b3958b864512754e75e607de,
,https://myanimelist.net/manga/698/Shinseiki_Evangelion,8.57,https://cdn.myanimelist.net/r/50x70/images/manga/1/145061.webp?s=16b39732a938ff446fe44f937e73f7db,"Action, Drama, Mystery, Sci-Fi, Suspense"
,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,8.57,https://cdn.myanimelist.net/r/50x70/images/manga/3/269910.webp?s=eea8042d6083e8e166b02ad88a1ea7d3,"Action, Supernatural"
,https://myanimelist.net/manga/13245/Chihayafuru,8.57,https://cdn.myanimelist.net/r/50x70/images/manga/1/245072.webp?s=dab3ea4103b19102b9f601a66385f5f0,"Award Winning, Drama"
,https://myanimelist.net/manga/61579/Tobaku_Datenroku_Kaiji__One_Poker-hen,8.57,https://cdn.myanimelist.net/r/50x70/images/manga/3/311934.webp?s=9c87b2d4b4d55c77a2caa5da6fffb403,
,https://myanimelist.net/manga/3031/Pandora_Hearts,8.56,https://cdn.myanimelist.net/r/50x70/images/manga/2/169004.webp?s=2c8773292d6cd63d1dc840d313f9f0c1,"Adventure, Fantasy, Mystery, Supernatural"
,https://myanimelist.net/manga/11514/Otoyomegatari,8.56,https://cdn.myanimelist.net/r/50x70/images/manga/2/188950.webp?s=4af90b73d48adbf63336b25b1dcff0cf,"Award Winning, Romance"
,https://myanimelist.net/manga/92559/Diamond_no_Ace_Act_II,8.56,https://cdn.myanimelist.net/r/50x70/images/manga/3/167576.webp?s=7d662f8b5a18950985f0bed54d33e417,
,https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun,8.55,https://cdn.myanimelist.net/r/50x70/images/manga/3/192551.webp?s=3550bfb46c785fd807cce3e1143715ad,
,https://myanimelist.net/manga/87844/The_Fable,8.55,https://cdn.myanimelist.net/r/50x70/images/manga/2/152911.webp?s=9da4f39fac4f9ecc9b12cf32ae9c265f,"Award Winning, Comedy"
,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin,8.55,https://cdn.myanimelist.net/r/50x70/images/manga/2/37846.webp?s=03bb0005a328bf67dc246b039b7af077,"Action, Award Winning, Drama"
,https://myanimelist.net/manga/610/Skip_Beat,8.55,https://cdn.myanimelist.net/r/50x70/images/manga/2/255389.webp?s=81f62893098f15720aa2606526762fe6,"Comedy, Drama, Romance"
,https://myanimelist.net/manga/1325/Hi_no_Tori_1967,8.55,https://cdn.myanimelist.net/r/50x70/images/manga/3/159419.webp?s=591606c619fdfc390a935cab69d792e6,"Drama, Fantasy, Romance, Sci-Fi, Supernatural"
,https://myanimelist.net/manga/2062/Kara_no_Kyoukai__The_Garden_of_Sinners,8.55,https://cdn.myanimelist.net/r/50x70/images/manga/2/45015.webp?s=54b8e1d71acfe560953ff20a7e269c45,"Fantasy, Horror, Mystery, Supernatural"
,https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,8.54,https://cdn.myanimelist.net/r/50x70/images/manga/2/127583.webp?s=65dee3fa4d64d20abedf6b733c425a9e,"Action, Drama"
,https://myanimelist.net/manga/8157/Kamisama_Hajimemashita,8.54,https://cdn.myanimelist.net/r/50x70/images/manga/1/269698.webp?s=2f7de9901442deab1fb61a5bb52d6880,"Comedy, Fantasy, Romance, Supernatural"
,https://myanimelist.net/manga/11327/One_Outs,8.54,https://cdn.myanimelist.net/r/50x70/images/manga/3/169329.webp?s=93e0e83b85d1a152fdfbb27cfd4f958f,
,https://myanimelist.net/manga/138533/Nan_Hao_Shang_Feng,8.54,https://cdn.myanimelist.net/r/50x70/images/manga/1/254654.webp?s=be4478ed5b5e19ff22994ab75f826b6b,
,https://myanimelist.net/manga/102/Fruits_Basket,8.53,https://cdn.myanimelist.net/r/50x70/images/manga/3/269697.webp?s=3264f5cb38f100a7dc517016fec5e8cf,"Award Winning, Drama, Romance, Supernatural"
,https://myanimelist.net/manga/3083/Suzumiya_Haruhi_Series,8.53,https://cdn.myanimelist.net/r/50x70/images/manga/1/186142.webp?s=42018b6f831224584741e42572f91761,"Comedy, Drama, Sci-Fi, Supernatural"
,https://myanimelist.net/manga/5744/Ping_Pong,8.53,https://cdn.myanimelist.net/r/50x70/images/manga/2/151416.webp?s=2adcb711ca05b2084afe840850f395fb,"Drama, Sports"
,https://myanimelist.net/manga/11054/Billy_Bat,8.53,https://cdn.myanimelist.net/r/50x70/images/manga/3/181197.webp?s=1c2d3e7ac4bb6998d56c269ed8eed0bf,"Drama, Mystery, Supernatural"
